strategy,Qualitative
sampleProd,Δευτερογενής
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,N/A
studyQuestions,N/A
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2007-2019
sampleCollectionReference,2019
statesOfReference,"Ινδία, Ευρώπη, ΗΠΑ"
spatialCoverage,"Παγκόσμια, Ινδία"
geographicalUnit,Χώρα
population,ΔΙΑΦΗΜΙΣΤΙΚΕΣ ΕΤΑΙΡΕΙΕΣ
basicUnit,"Εταιρείες, Τράπεζες"
sampleSize,9
collectionMethod,Σκόπιμη δειγματοληψία
methodOfRecording,"Βιβλιογραφική επισκόπηση, Μελέτη περίπτωσης"
methodOfAnalysis,"Συγκριτική ανάλυση, Ανάλυση SWOT"
recordingTools,N/A
analysisTools,N/A
firstName,Δημήτριος
surName,Κυριακού
gender,Άνδρας
fathersName,Κ.
title,ΣΥΓΚΡΙΤΙΚΗ ΑΝΑΛΥΣΗ ΔΙΑΦΗΜΙΣΤΙΚΩΝ ΕΤΑΙΡΕΙΩΝ
nameOfSupervisor,ΚΟΥΤΟΥΠΗΣ ΑΝΤΡΕΑΣ
dateOfSupport,2019-12-01
numberOfPages,87
language,Ελληνικά
typeOfDissertation,DoctoralDissertation
keyWords,"Διαφήμιση, Διαφημιστικές εταιρείες, Τράπεζες, Ψηφιακή διαφήμιση"
altTitle,DoctoralDissertation_Kiriakou
nameOfCom1,N/A
nameOfCom2,N/A
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Μηχανικών Οικονομίας & Διοίκησης
program,N/A
libraryLink,http://hdl.handle.net/11610/21175
target,να κάνει μια κλαδική ανάλυση του διαφημιστικού κλάδου παγκοσμίως μέσω της χρηματοοικονομικής ανάλυσης των μεγαλύτερων εταιριών
sampleDescription,"Μελέτη διαφημιστικού προϊόντος στον τραπεζικό τομέα, 5 διαφημιστικοί όμιλοι, 4 τράπεζες"
