strategy,Qualitative
sampleProd,Δευτερογενή
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,"Σκοπός της παρούσας εργασίας είναι η διερεύνηση της εφαρμογής και των παραμέτρων υλοποίησης της Εταιρικής Κοινωνικής Ευθύνης μέσα στο σύγχρονο επιχειρηματικό περιβάλλον. Για τον σκοπό αυτό πραγματοποιήθηκε μία βιβλιογραφική ανασκόπηση ερευνών που καταδεικνύουν την συμβολή της εταιρικής κοινωνικής ευθύνης στη λειτουργία των εταιρειών, παρουσιάζονται διάφορα επιστημονικά ρεύματα που ασχολήθηκαν με την έννοια της αειφόρου ανάπτυξης ενώ αναπτύσσεται και η έννοια του Πράσινου Μάρκετινγκ το οποίο συνδέεται άμεσα με την αειφόρο ανάπτυξη και την Εταιρική Κοινωνική ευθύνη."
studyQuestions,N/A
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,1950-2020
sampleCollectionReference,2020
statesOfReference,διεθνή και την ελληνική βιβλιογραφία
spatialCoverage,N/A
geographicalUnit,N/A
population,κερδοσκοπικών και μη κερδοσκοπικών οργανισμών
basicUnit,άρθρα και επιστημονικά συγγράμματα
sampleSize,N/A
collectionMethod,συστηματική αναζήτηση σε βάσεις δεδομένων
methodOfRecording,Βιβλιογραφική ανασκόπηση
methodOfAnalysis,Ποιοτική ανάλυση βιβλιογραφίας
recordingTools,N/A
analysisTools,N/A
firstName,Κωνσταντίνα
surName,Μουστακίδου
gender,Γυναίκα
fathersName,N/A
title,Η Εταιρική Κοινωνική Ευθύνη : Μια Θεωρητική Επισκόπηση
nameOfSupervisor,Ανδρικόπουλο Ανδρέα
dateOfSupport,2020-10-27
numberOfPages,35
language,Ελληνική
typeOfDissertation,BachelorsThesis
keyWords,"Εταιρική Κοινωνική Ευθύνη, Εταιρική Διακυβέρνηση, Πράσινο Μάρκετινγκ"
altTitle,BachelorsThesis_Moustakidou
nameOfCom1,N/A
nameOfCom2,N/A
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Σχολή Επιστημών Διοίκησης
program,ΜΕΤΑΠΤΥΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ-MBA
libraryLink,http://hdl.handle.net/11610/22129
target,διερεύνηση της εφαρμογής και των παραμέτρων υλοποίησης της Εταιρικής Κοινωνικής Ευθύνης μέσα στο σύγχρονο επιχειρηματικό περιβάλλον
sampleDescription,Θεωρητική επισκόπηση
