strategy,Qualitative
sampleProd,Primary
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,"Στόχος της παρούσας εργασίας είναι να εξεταστεί το πως αντιλαμβάνονται τον κίνδυνο οι ιδιοκτήτες δύο μεγάλων ξενοδοχειακών επιχειρήσεων της χώρας, καθώς και ο τρόπος που εφαρμόζεται ο εσωτερικός έλεγχος και η διαχείριση κινδύνων στις ξενοδοχειακές τους μονάδες."
studyQuestions,Yes
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2019-2020
sampleCollectionReference,2020
statesOfReference,Ελλάδα
spatialCoverage,"Κρήτη, Πελοπόννησο, Ρόδο, Κω"
geographicalUnit,ξενοδοχειακές μονάδες
population,ιδιοκτήτες και στελέχη μεγάλων ξενοδοχειακών επιχειρήσεων
basicUnit,"ιδιοκτήτες, managers, στελέχη τμήματος εσωτερικού ελέγχου"
sampleSize,2
collectionMethod,Ποιοτική μέθοδος
methodOfRecording,ημιδομημένες συνεντεύξεις
methodOfAnalysis,Ποιοτική ανάλυση
recordingTools,"Οδηγός Συνεντεύξεων, Skype, μαγνητόφωνο"
analysisTools,N/A
firstName,Γεωργία – Αντογόνη
surName,Τσιφετάκη
gender,Γυναίκα
fathersName,N/A
title,Ο ΕΣΩΤΕΡΙΚΟΣ ΕΛΕΓΧΟΣ ΚΑΙ Η ΔΙΑΧΕΙΡΙΣΗ ΚΙΝΔΥΝΟΥ ΣΤΙΣ ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΜΟΝΑΔΕΣ
nameOfSupervisor,ΒΑΔΑΣΗ ΧΡΙΣΤΙΝΑ
dateOfSupport,2021-03-28
numberOfPages,58
language,Ελληνικά
typeOfDissertation,BachelorsThesis
keyWords,"εσωτερικός έλεγχος, διαχείριση κινδύνου, ξενοδοχειακές μονάδες, COSO"
altTitle,EXECUTIVE MBA
nameOfCom1,N/A
nameOfCom2,N/A
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Διοίκησης Επιχειρήσεων
program,ΠΡΟΓΡΑΜΜΑ ΜΕΤΑΠΤΥΧΙΑΚΩΝ ΣΠΟΥΔΩΝ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ ΓΙΑ ΣΤΕΛΕΧΗ – EXECUTIVE MBA
libraryLink,http://hdl.handle.net/11610/22108
target,να μελετηθεί κατά πόσο ο εσωτερικός έλεγχος συμβάλει στη διαχείριση κινδύνων και αν οι ξενοδοχειακές μονάδες εφαρμόζουν τον έλεγχο βάσει κινδύνου.
sampleDescription,ιδιοκτήτες και στελέχη δύο μεγάλων ξενοδοχειακών επιχειρήσεων (Aldemar και Σύνθεσις Α.Ε.)
