strategy,Quantitative
sampleProd,Πρωτογενή
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,"Ο στόχος της συγκεκριμένης διπλωματικής εργασίας είναι να παρουσιάσει τη διοίκηση και το εσωτερικό μάρκετινγκ που εφαρμόζει ο Δημόσιος Τομέας. Για το λόγο αυτό αρχικά πραγματοποιήθηκε μια θεωρητική προσέγγιση της έννοιας Διοίκησης Ανθρώπινου Δυναμικού. Παράλληλα μέσω της διπλωματικής εργασίας πραγματοποιείται μιας προσπάθεια μελέτης της ποιότητα των παρεχόμενων υπηρεσιών από το Δημόσιο Οργανισμό προς το Πολίτη αναφέροντας εκτενώς στη θεωρία την έννοια της υπηρεσίας και της ποιότητας. Ωστόσο η βέλτιστη παροχή υπηρεσιών προσδίδει το αίσθημα ικανοποίησης στο Πολίτη και έτσι θεωρήθηκε σκόπιμη η αναφορά στον όρο ικανοποίηση του Πολίτη και μετέπειτα η αναφορά στη Δημόσια Διοίκηση ώστε να κατανοηθεί πλήρως η οργάνωση του Δημοσίου Τομέα και ο τρόπος που συμβάλλει στη βέλτιστη εξυπηρέτηση και παροχή υπηρεσιών. Για την ολοκλήρωση της έρευνας πραγματοποιήθηκε ποσοτική έρευνα χρησιμοποιώντας ερωτηματολόγια σε δείγμα 92 ατόμων που εργάζονται στη Περιφέρεια Ανατολικής Μακεδονίας και Θράκης. Σύμφωνα με τα αποτελέσματα οι εργαζόμενοι του Δημοσίου Τομέα είναι πρόθυμοι να βελτιώσουν τη ποιότητα υπηρεσιών που παρέχουν και το επίπεδο της εξυπηρέτησής τους, τονίζοντας ότι η Δημόσια Διοίκηση χρήζει άμεσα βελτίωση παρά τη προσπάθεια που έχει γίνει κατά τη τελευταία δεκαετία. Η Δημόσια Διοίκηση χαρακτηρίζεται από ένα γραφειοκρατικό σύστημα το οποίο πρέπει να εκσυγχρονιστεί και να συμβάλλει στην ικανοποίηση του απλού Πολίτη."
studyQuestions,Ναι
workAssumptions,N/A
studyAssumptions,Ho: Οι μεταβλητές αυτές είναι ανεξάρτητες δηλαδή δεν υπάρχει συσχέτιση μεταξύ των δύο μεταβλητών. H1: Υπάρχει συσχέτιση μεταξύ των δύο μεταβλητών.
sampleTimeReference,2020
sampleCollectionReference,Φεβρουαρίου-Μαρτίου 2020
statesOfReference,Ελλάδα
spatialCoverage,Περιφέρεια Ανατολικής Μακεδονίας και Θράκης
geographicalUnit,Νομός Ξάνθης
population,Δημόσιοι υπάλληλοι του Δημοσίου Τομέα
basicUnit,Διοικητικοί υπάλληλοι
sampleSize,92
collectionMethod,N/A
methodOfRecording,ερωτηματολόγια
methodOfAnalysis,"Μονομεταβλητή Ανάλυση, Διμεταβλητή Ανάλυση, Πολυμεταβλητή Ανάλυση (Chi-square test, Pearson’s Correlation, Factor Analysis)"
recordingTools,Ερωτηματολόγια
analysisTools,"IBM SPSS Statistics, version 23"
firstName,Στεργιανή
surName,Φλωροκάπη
gender,Γυναίκα
fathersName,N/A
title,Η ΣΥΜΒΟΛΗ ΤΗΣ ΠΟΙΟΤΗΤΑΣ ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΕΞΥΠΗΡΕΤΗΣΗΣ ΠΕΛΑΤΩΝ ΣΤΗΝ ΕΛΛΗΝΙΚΗ ΔΗΜΟΣΙΑ ΔΙΟΙΚΗΣΗ: Η ΠΕΡΙΠΤΩΣΗ ΤΟΥ ΔΗΜΟΣΙΟΥ ΤΟΜΕΑ ΤΟΥ ΝΟΜΟΥ ΞΑΝΘΗΣ
nameOfSupervisor,ΣΑΛΑΜΟΥΡΑ ΜΑΡΙΑ
dateOfSupport,2020-03-31
numberOfPages,191
language,Ελληνικά
typeOfDissertation,BachelorsThesis
keyWords,"Ποιότητα Υπηρεσιών, Ικανοποίηση Πελατών, Δημόσια Διοίκηση"
altTitle,BachelorsThesis_Florokapi
nameOfCom1,ΜΠΕΚΙΑΡΗΣ ΜΙΧΑΗΛ
nameOfCom2,ΓΑΚΗ ΕΛΕΝΗ
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Διοίκησης Επιχειρήσεων
program,ΠΡΟΓΡΑΜΜΑ ΜΕΤΑΠΤΥΧΙΑΚΩΝ ΣΠΟYΔΩΝ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ- ΜΒΑ
libraryLink,http://hdl.handle.net/11610/22120
target,Ο στόχος της συγκεκριμένης διπλωματικής εργασίας είναι να παρουσιάσει τη διοίκηση και το εσωτερικό μάρκετινγκ που εφαρμόζει ο Δημόσιος Τομέας.
sampleDescription,Διοικητικοί υπάλληλοι της Περιφερειακής Ενότητας Ξάνθης
