strategy,Mixed
sampleProd,Primary and Secondary
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,"Στη δεκαετία του 1990 η αγορά συναλλάγματος ξεκίνησε να αναπτύσσεται και να γίνεται προσβάσιμη στους επενδυτές που ήθελαν να επενδύσουν σε ισοτιμίες συναλλάγματος και να κάνουν συναλλαγές σε εμπορεύματα... Το επόμενο βήμα... ήταν η ενσωμάτωση των ηλεκτρονικών υπολογιστών στις συναλλαγές και η δημιουργία αλγορίθμων... Στο πρώτο μέρος της παρούσας εργασίας θα προσπαθήσω να περιγράψω μερικές λεπτομέρειες για την ανάπτυξη των αλγοριθμικών συναλλαγών τα 30 τελευταία χρόνια... Στο δεύτερο μέρος θα παρουσιάσω το επιχειρηματικό μου σχέδιο... Επιπλέον θα περιγράψω τα αποτελέσματα της έρευνάς μου, η οποία είχε ως στόχο να εντοπίσει το κατά πόσο οι άνθρωποι γνωρίζουν για τις αλγοριθμικές συναλλαγές και επίσης να αναγνωρίσει το γκρουπ των ανθρώπων τους οποίους θα πρέπει να στοχεύσω ως δυνητικούς πελάτες."
studyQuestions,να εντοπίσει το κατά πόσο οι άνθρωποι γνωρίζουν για τις αλγοριθμικές συναλλαγές και επίσης να αναγνωρίσει το γκρουπ των ανθρώπων τους οποίους θα πρέπει να στοχεύσω ως δυνητικούς πελάτες
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2020
sampleCollectionReference,"1η Αυγούστου 2020, μέχρι και τις 20 Σεπτεμβρίου 2020"
statesOfReference,Ελλάδα
spatialCoverage,N/A
geographicalUnit,N/A
population,δυνητικοί πελάτες
basicUnit,άνθρωποι
sampleSize,350
collectionMethod,email και κοινωνικών δικτύων (LinkedIn και Facebook)
methodOfRecording,ερωτηματολόγια μέσω διαδικτύου
methodOfAnalysis,ποσοτική και ποιοτική ανάλυση
recordingTools,Google Forms
analysisTools,"Google Forms, Microsoft Excel"
firstName,Γεώργιος
surName,Φουντούλης
gender,Άνδρας
fathersName,Α.
title,Η ΕΞΕΛΙΞΗ ΤΩΝ ΑΛΓΟΡΙΘΜΙΚΩΝ ΣΥΝΑΛΛΑΓΩΝ ΚΑΙ Ο ΡΟΛΟΣ ΤΟΥΣ ΣΤΙΣ ΧΡΗΜΑΤΑΓΟΡΕΣ
nameOfSupervisor,Δρ. Αριστείδης Σάμιτας
dateOfSupport,2020-09-01
numberOfPages,58
language,Ελληνικά
typeOfDissertation,DoctoralDissertation
keyWords,"Αλγοριθμικές Συναλλαγές, Forex, Επιχειρηματικό Σχέδιο, Χρηματαγορές"
altTitle,The evolution of algorithmic trading and its role in the financial markets
nameOfCom1,Δρ. Ανδρέας Ανδρικόπουλος
nameOfCom2,Δρ. Μιχαήλ Μπεκιάρης
otherNotes,Επιχειρηματικό Σχέδιο
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Διοίκησης Επιχειρήσεων
program,ΜΕΤΑΠΤΥΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΣΠΟΥΔΩΝ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ
libraryLink,http://hdl.handle.net/11610/22125
target,να περιγράψω μερικές λεπτομέρειες για την ανάπτυξη των αλγοριθμικών συναλλαγών τα 30 τελευταία χρόνια... να παρουσιάσω το επιχειρηματικό μου σχέδιο
sampleDescription,άνθρωποι που γνωρίζουν για τις αλγοριθμικές συναλλαγές και δυνητικοί πελάτες
