strategy,Qualitative
sampleProd,Primary and Secondary
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,Ο κύριος σκοπός της παρούσας διπλωματικής εργασίας είναι η παρουσίαση ενός νέου τρόπου παραγγελιοδοσίας που στηρίζεται στην αυτοματοποίηση της ζήτησης μέσω του SAPFnR η οποία αντικαθιστά τον παραδοσιακό τρόπο που παραγγελιοδοσίας που χρησιμοποιείται έως και σήμερα κατά κύριο λόγο στο Ελληνικό λιανεμπόριο.
studyQuestions,N/A
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2019-2021
sampleCollectionReference,2019-2020
statesOfReference,Ελλάδα
spatialCoverage,Ελλάδα
geographicalUnit,N/A
population,ΑΒ Βασιλόπουλος
basicUnit,διαδικασίες παραγγελιοδοσίας και logistics
sampleSize,N/A
collectionMethod,N/A
methodOfRecording,"βιβλιογραφική έρευνα, πρακτικά συναντήσεων, πρακτικά εκπαιδεύσεων, manual παρουσίασης, προσωπική καθημερινή ενασχόληση"
methodOfAnalysis,μελέτη περίπτωσης
recordingTools,N/A
analysisTools,SAP Forecasting and Replenishment
firstName,Ανδρέας
surName,Μήτσουλας
gender,Άνδρας
fathersName,N/A
title,Αυτοματοποίηση ζήτησης αποθεμάτων μέσω του SAP Forecasting and Replenishment
nameOfSupervisor,Κακούρης Ανδρέας
dateOfSupport,2020-11-06
numberOfPages,74
language,Ελληνικά
typeOfDissertation,MasterThesis
keyWords,N/A
altTitle,Automation of stock demand through SAP Forecasting and Replenishment
nameOfCom1,N/A
nameOfCom2,N/A
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Διοίκησης Επιχειρήσεων
program,Πρόγραμμα Μεταπτυχιακών Σπουδών στη Διοίκηση Επιχειρήσεων για Στελέχη - Executive MBA
libraryLink,http://hdl.handle.net/11610/22102
target,η παρουσίαση ενός νέου τρόπου παραγγελιοδοσίας που στηρίζεται στην αυτοματοποίηση της ζήτησης μέσω του SAPFnR
sampleDescription,ΑΒ Βασιλόπουλος
