strategy,Quantitative
sampleProd,Primary (Πρωτογενή)
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,"Το στυλ ηγεσίας που εφαρμόζει ένας/μια διευθυντής/τρια μιας σχολικής μονάδας, η οργανωσιακή αφοσίωση των εκπαιδευτικών και η επαγγελματική τους ικανοποίηση είναι καθοριστικοί παράγοντες για την αποτελεσματική λειτουργία του σχολικού οργανισμού. Λαμβάνοντας υπ’ όψιν τα παραπάνω, ο σκοπός της έρευνας είναι τριπλός. Συγκεκριμένα, επιδιώκεται να διερευνηθούν: α) η σχέση μεταξύ του στυλ ηγεσίας (μετασχηματιστική και συναλλακτική ηγεσία) που υιοθετούν οι διευθυντές/τριες των δημόσιων δημοτικών σχολείων στην Ελλάδα και των εργασιακών στάσεων και συμπεριφορών (οργανωσιακή αφοσίωση και επαγγελματική/εργασιακή ικανοποίηση) των μόνιμων και των προσωρινών (αναπληρωτών) εκπαιδευτικών, β) αν η επαγγελματική ικανοποίηση αποτελεί διαμεσολαβητή (mediator) στη σχέση μεταξύ μετασχηματιστικής και συναλλακτικής ηγεσίας και της οργανωσιακής (συναισθηματικής) αφοσίωσης και γ) οι διαφορές στο επίπεδο επαγγελματικής ικανοποίησης και αφοσίωσης (συναισθηματικής) μεταξύ μόνιμων και αναπληρωτών εκπαιδευτικών."
studyQuestions,Yes
workAssumptions,Yes
studyAssumptions,"Η1ai, Η1aii, H1bi, H1bii, Η2ai, Η2aii, H2bi, H2bii, H3a, H3b, H4, H5, H5a, H5b, H5c, H5d, H5e"
sampleTimeReference,2020-2021
sampleCollectionReference,2020-10-29 έως 2020-11-29
statesOfReference,Ελλάδα
spatialCoverage,"σε όλη την Ελλάδα (αστικές, ημι-αστικές και αγροτικές περιοχές)"
geographicalUnit,Περιφερειακή ενότητα
population,Εκπαιδευτικοί που διδάσκουν σε δημόσια δημοτικά σχολεία της Ελλάδας
basicUnit,Μόνιμοι και προσωρινοί (αναπληρωτές) εκπαιδευτικοί
sampleSize,320
collectionMethod,Απλή τυχαία δειγματοληψία
methodOfRecording,Έρευνα (survey) με χρήση ερωτηματολογίου
methodOfAnalysis,"Συσχέτιση (Pearson correlation), έλεγχος για δυο ανεξάρτητα δείγματα (t-test, Mann-Whitney), ανάλυση της διαμεσολάβησης (mediation analysis), παραγοντική ανάλυση (factor analysis)"
recordingTools,Ερωτηματολόγιο (Google forms)
analysisTools,"S.P.S.S. version 26, PROCESS 3.5"
firstName,Ευτυχία
surName,Τσούρου
gender,Γυναίκα
fathersName,N/A
title,Η επίδραση των στυλ ηγεσίας στις εργασιακές στάσεις/συμπεριφορές: μια διερευνητική μελέτη στα δημόσια σχολεία της Πρωτοβάθμιας εκπαίδευσης στην Ελλάδα
nameOfSupervisor,Νίκη Γλαβέλη
dateOfSupport,2021-02-26
numberOfPages,184
language,Ελληνικά
typeOfDissertation,MasterThesis
keyWords,"Μετασχηματιστική ηγεσία στα σχολεία, Συναλλακτική ηγεσία στα σχολεία, Επαγγελματική ικανοποίηση εκπαιδευτικών, Οργανωσιακή (συναισθηματική) αφοσίωση, Μόνιμοι και προσωρινοί (αναπληρωτές) εκπαιδευτικοί."
altTitle,The leadership style of school principle
nameOfCom1,Ελένη Γάκη
nameOfCom2,Ιωάννης Κίνιας
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Σχολή Επιστημών Διοίκησης
program,ΠΡΟΓΡΑΜΜΑ ΜΕΤΑΠΤΥΧΙΑΚΩΝ ΣΠΟΥΔΩΝ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ
libraryLink,http://hdl.handle.net/11610/22130
target,"Ο σκοπός της έρευνας ήταν τριπλός: α) να εξεταστεί η σχέση μεταξύ του στυλ ηγεσίας και των εργασιακών στάσεων και συμπεριφορών των μόνιμων και των προσωρινών εκπαιδευτικών, β) να διερευνηθεί αν η επαγγελματική ικανοποίηση αποτελεί διαμεσολαβητή και γ) να εξεταστούν οι διαφορές στο επίπεδο επαγγελματικής ικανοποίησης και αφοσίωσης μεταξύ μόνιμων και αναπληρωτών εκπαιδευτικών."
sampleDescription,Μόνιμοι και αναπληρωτές εκπαιδευτικοί πρωτοβάθμιας εκπαίδευσης στην Ελλάδα
