strategy,Qualitative
sampleProd,Primary
timeAnalysis,Μη Ιστορική 
spaceAnalysis,Μη Ιστορική 
abstract,Στην εργασία αυτή εξετάζεται το ζήτημα του προσφυγικού – μεταναστευτικού εστιάζοντας στην αγορά εργασίας και στην ένταξη τους σε αυτήν. Οι διαδικασίες ένταξης και ενσωμάτωσης των προσφύγων-μεταναστών στις κοινωνίες υποδοχής είναι αντικείμενο μελέτης από αρκετούς ερευνητές όπου κάθε ερευνητής ανάλογα με το αντικείμενο της έρευνας του δίνει έναν διαφορετικό ορισμό στις έννοιες αυτές.
studyQuestions,"Ποια είναι τα εμπόδια που αντιμετωπίζουν για την ένταξη τους στην αγορά εργασίας; Ποιος είναι ο ρόλος των κοινωνικών δικτύων στην ένταξη τους στην αγορά εργασίας; Ποια είναι τα εμπόδια που αντιμετωπίζουν για την ένταξη τους στην εκπαίδευση; Έχουν συμμετάσχει σε κάποια εκπαιδευτική δράση/ πρόγραμμα και γενικότερα έχουν θέληση να εκπαιδευτούν στην Ελλάδα; Τα εμπόδια που έχουν στην εκπαίδευση επηρεάζουν την ένταξη τους στην αγορά εργασίας; Τι ρόλο διαδραματίζει για εκείνους η εκπαίδευση στην ζωή τους, τους βοηθά στην εύρεση μιας θέσης στην αγορά εργασίας; Οι υφιστάμενες πολιτικές εργασιακής ένταξης επιδιώκουν την εργασιακή και κοινωνική ένταξη των προσφύγων- μεταναστών ή υπάρχουν πιθανότητες βελτίωσης τους;"
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2023
sampleCollectionReference,N/A
statesOfReference,Ελλάδα
spatialCoverage,Λέσβος
geographicalUnit,Μυτιλήνη
population,Πρόσφυγες-μετανάστες
basicUnit,πρόσφυγες-μετανάστες
sampleSize,10
collectionMethod,σκόπιμης δειγματοληψίας και της δειγματοληψίας της χιονοστιβάδας
methodOfRecording,"ατομικών συνεντεύξεων, ηχογράφησης"
methodOfAnalysis,θεματική ανάλυση περιεχομένου
recordingTools,Οδηγός συνέντευξης
analysisTools,N/A
firstName,Ουρανία
surName,Βλαστού
gender,Γυναίκα
fathersName,N/A
title,Η ένταξη των προσφύγων- μεταναστών στην αγορά εργασίας: Πολιτικές ένταξης και μελέτη περίπτωσης εργασιακής ένταξης και επιχειρηματικότητας στην Λέσβο.
nameOfSupervisor,Ναγόπουλος Νικόλαος
dateOfSupport,2023-06-01
numberOfPages,180
language,Ελληνική
typeOfDissertation,MasterThesis
keyWords,N/A
altTitle,N/A
nameOfCom1,Σαββάκης Εμμανουήλ
nameOfCom2,Γιαβρίμης Παναγιώτης
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Κοινωνιολογίας
program,Έρευνα για την Τοπική Κοινωνική Ανάπτυξη και Συνοχή
libraryLink,https://hdl.handle.net/11610/28104
target,"να ακουστεί η φωνή των προσφύγων- μεταναστών, να ακουστούν οι απόψεις τους σχετικά με την ένταξη τους στην αγορά εργασίας και στον χώρο της εκπαίδευσης."
sampleDescription,δέκα συνεντεύξεις εκ των οποίων δέκα είναι άντρες και δέκα γυναίκες
