strategy,Mixed
sampleProd,Primary (πρωτογενής έρευνα) και Secondary (δευτερογενή στοιχεία)
timeAnalysis,Ιστορική
spaceAnalysis,Ιστορική
abstract,"Η συγκεκριμένη εργασία έχει σαν σκοπό να αναδείξει ακριβώς το σύστημα διαχείρισης των αναγκών σε τέτοιου είδους δομές από κρατικούς και άλλους φορείς και στη συνέχεια μέσα από την έρευνα να εξετάσει πιθανές προκλήσεις που αντιμετωπίζουμε στο «πεδίο», καθώς και τον τρόπο προετοιμασίας και ανταπόκρισης σε έκτακτες καταστάσεις. Η παρούσα εργασία αποτελείται από τρία κύρια κεφάλαια. Το κεφάλαιο Α’ περιλαμβάνει το θεωρητικό υπόβαθρο των logistics με εστίαση στα humanitarian logistics, δηλαδή στα ανθρωπιστικά logistics. Στο δεύτερο κεφάλαιο γίνεται μία εκτεταμένη αναφορά στο προσφυγικό ζήτημα και ειδικότερα στο πώς αυτό αντιμετωπίστηκε διαχρονικά τόσο από τα οργανωμένα κράτη μέλη της ευρωπαϊκής Ένωσης όσο και σε κρατικό επίπεδο. Αρχικά σε επίπεδο νομοθεσίας και θεσμικής προετοιμασίας και μεταγενέστερα σε επιχειρησιακό επίπεδο με την εκπόνηση εθνικών σχεδίων δράσης για την αντιμετώπιση του, το μεταναστευτικό προσφυγικό πέρασε από ένα πρώιμο στάδιο εθελοντικής πρωτοβουλίας και ad hoc αντιμετώπισης σε πιο ώριμες και οργανωμένες στρατηγικές διαχείρισης. Στο τρίτο κεφάλαιο της εργασίας γίνεται η προσέγγιση από την πλευρά της έρευνας στο Κέντρο Υποδοχής και Ταυτοποίησης Χίου, στο οποίο και διετέλεσα ως διοικήτρια. Σκοπός να μελετηθούν αφενός οι κρίσιμοι παράγοντες επιτυχίας καθώς και η στρατηγική τακτική ή επιχειρησιακή τους προσέγγιση- σχεδίαση και αφετέρου από την πλευρά των αποδεκτών ωφελούμενών η ικανοποίηση των βασικών αναγκών τους μέσα από τις παροχές τις οποίες έλαβαν κατά τη διαμονή τους με σκοπό να καταλήξουμε στο συμπέρασμα σε προτάσεις για τη βελτίωση του όλου τοπικού άλλα και εθνικού συστήματος."
studyQuestions,Yes (ΕΡΕΥΝΗΤΙΚΟ ΕΡΩΤΗΜΑ 1 έως 4)
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2015-2020
sampleCollectionReference,Αύγουστο του 2020
statesOfReference,Ελλάδα
spatialCoverage,Χίος
geographicalUnit,Κέντρο Υποδοχής και Ταυτοποίησης (ΚΥΤ) Χίου
population,Διαμένοντες στο ΚΥΤ Χίου
basicUnit,ωφελούμενοι – διαμένοντες στο Κέντρο Υποδοχής και Ταυτοποίησης Χίου
sampleSize,150
collectionMethod,απλή τυχαία δειγματοληψία
methodOfRecording,Συλλογή στοιχείων μέσω δομημένου ερωτηματολογίου
methodOfAnalysis,"στατιστική επεξεργασία και ανάλυση των αποτελεσμάτων (διαγράμματα, υπολογισμοί ποσοστών)"
recordingTools,δομημένο ερωτηματολόγιο
analysisTools,Microsoft Excel
firstName,Βασιλική
surName,Δανού
gender,Γυναίκα
fathersName,N/A
title,HUMANITARIAN LOGISTICS – H ΠΕΡΙΠΤΩΣΗ ΤΗΣ ΒΙΑΛ ΣΤΗ ΧΙΟ
nameOfSupervisor,Ανδρέας Κακούρης
dateOfSupport,2021-03-22
numberOfPages,132
language,Ελληνικά
typeOfDissertation,MasterThesis
keyWords,N/A
altTitle,MasterThesis_Danou
nameOfCom1,N/A
nameOfCom2,N/A
otherNotes,N/A
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Διοίκησης Επιχειρήσεων
program,ΠΡΟΓΡΑΜΜΑ ΜΕΤΑΠΤΥΧΙΑΚΩΝ ΣΠΟΥΔΩΝ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ
libraryLink,http://hdl.handle.net/11610/22121
target,να αναδείξει τη χρησιμότητα της επιστήμης των ανθρωπιστικών logistics ως νεότευκτου κλάδου στο μεταναστευτικό - προσφυγικό ζήτημα αλλά και τους κρίσιμους παράγοντες επιτυχίας για την αντιμετώπιση της έκτακτης αυτής ανάγκης μαζικής και αθρόας μετακίνησης πληθυσμών
sampleDescription,υπήκοοι τρίτων χωρών (πρόσφυγες και μετανάστες) που διαμένουν στο Κέντρο Υποδοχής και Ταυτοποίησης Χίου
