strategy,Qualitative
sampleProd,Πρωτογενή και Δευτερογενή
timeAnalysis,Ιστορική
spaceAnalysis,N/A
abstract,"Η εργασία ξεκινάει με την θεωρητική προσέγγιση των διαδικασιών που αφορούν έναν οργανισμό. Συνεχίζει με τις επιρροές που δέχεται και καλείται να αντιμετωπίσει – και πάνω στις οποίες να προσαρμοστεί, οι οποίες έχουν καταγωγή από το εξωτερικό και το εσωτερικό περιβάλλον. Έπειτα αναφερόμαστε στην ανάγκη για αλλαγή και καινοτομία τόσο στην δομή της επιχείρησης, όσο και στον τρόπο λειτουργίας της, μέσα από μηχανισμούς μάθησης, και ανατροφοδότησης, προκειμένου να μπορέσει να παραμένει επιτυχημένος και αποδοτικός, και ανταγωνιστικός στην πάροδο του χρόνου. Σε όλα αυτά βέβαια η διαδικασία λήψης αποφάσεων παίζει καθοριστικό ρόλο. Δύο μέρη δομούν την παρούσα εργασία. Το πρώτο μέρος, αρχίζει με ένα κεφάλαιο το οποίο αναφέρεται στην διοίκηση, καθώς και τα μοντέλα που συναντάμε σε έναν οργανισμό. Στο δεύτερο κεφάλαιο, συνεχίζουμε με την στρατηγική των επιχειρήσεων, το πώς διαμορφώνεται και ποιες προσεγγίσεις υπάρχουν. Στο επόμενο κεφάλαιο αναλύουμε την διαδικασία λήψης αποφάσεων σε έναν οργανισμό καθώς και τα βήματα αυτής. Στο τέταρτο κεφάλαιο επισημαίνουμε την σημαντικότητα της δημιουργίας καινοτομίας σε έναν οργανισμό και των διαδικασιών μάθησης. Στο πέμπτο κεφάλαιο, το πρώτο μέρος της εργασίας ολοκληρώνεται με την επεξήγηση της διοίκησης αλλαγών και την εφαρμογή αυτών. Το δεύτερο μέρος της εργασίας ασχολείται με την δράση μιας στρατιωτικής δύναμης ειδικών επιχειρήσεων στο Ιράκ την περίοδο 2003 – 2006. Στο έκτο κεφάλαιο παραθέτουμε το υπόβαθρο της μελέτης περίπτωσης μέσα από μια ιστορική αναδρομή καθώς και τα ερευνητικά ερωτήματα τα οποία θα μας απασχολήσουν. Στο επόμενο κεφάλαιο αναλύουμε την μελέτη περίπτωσης προκειμένου να μπορέσουμε να ερμηνεύσουμε το περιβάλλον και να καταφέρουμε να προσεγγίσουμε τα ερευνητικά ερωτήματα. Στο τελευταίο κεφάλαιο καταγράφουμε τα αποτελέσματα που προέκυψαν από την εκπόνηση της διπλωματικής εργασίας τα οποία αφορούν την μελέτη περίπτωσης ξεχωριστά αλλά και σε σύγκριση με την θεωρία του Α μέρους. Σκοπός λοιπόν αυτής της μελέτης είναι η ανάδειξη σημαντικών ευρημάτων – διαπιστώσεων σχετικά με τον τρόπο με τον οποίο οι οργανωτικές και οργανωσιακές αλλαγές που εφαρμόστηκαν από τις Δυνάμεις Ειδικών Επιχειρήσεων (Special Operations Forces - SOF) των ΗΠΑ, κατά την περίοδο που ξεκίνησαν τη δράση τους στο Ιράκ το 2003, με την Task Force 714 (Τακτική Δύναμη 714 - TF 714), συνέβαλαν καθορίστηκα στην επιτυχία της αποστολής της, η οποία ήταν η διάλυση του μυστικά δικτυωμένου οργανισμού της Al Qaida Iraq - Αλ Κάιντα του Ιράκ (AQI)."
studyQuestions,"πως και γιατί η TF 714 ήταν σε θέση να μάθει και να καινοτομήσει, αλλάζοντας τον εαυτό του στη μέση του πολέμου; σε ποιο βαθμό οι οργανωτικές, οργανωσιακές και επιχειρησιακές αλλαγές που εφάρμοσε η JSOC στο Ιράκ, μπορούν να εξηγηθούν ως αποτέλεσμα της ομάδας εργασίας που εξομοιώνει αυτά τα επιτυχημένα οργανωτικά χαρακτηριστικά;"
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2001 - 2008
sampleCollectionReference,N/A
statesOfReference,"Ιράκ, ΗΠΑ"
spatialCoverage,Ιράκ
geographicalUnit,N/A
population,Δυνάμεις Ειδικών Επιχειρήσεων (Special Operations Forces - SOF) των ΗΠΑ
basicUnit,Task Force 714
sampleSize,N/A
collectionMethod,N/A
methodOfRecording,σειρά σε βάθος συνεντεύξεις
methodOfAnalysis,"Ποιοτική ανάλυση, Μελέτη Περίπτωσης (Case Study)"
recordingTools,N/A
analysisTools,N/A
firstName,Χρήστος
surName,Δημητρέλλος
gender,Άνδρας
fathersName,N/A
title,Διοίκηση Έργου και Αλλαγών στις Στρατιωτικές Ειδικές Επιχειρήσεις
nameOfSupervisor,Δρ. Μιχαήλ Μπεκιάρης
dateOfSupport,2020-11-01
numberOfPages,99
language,Ελληνικά
typeOfDissertation,MasterThesis
keyWords,"Διοίκηση, Στρατηγική, Λήψη Απόφασης, Καινοτομία, Διοίκηση Αλλαγών, Task Force 714, Ιράκ, Al Qaida Iraq"
altTitle,MasterThesis_Dimitrellos
nameOfCom1,N/A
